TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
04/26/2019 17:50:00,242.330917,100.0,235.480301,0.555267,463.408691,139.474228,37.538147,-0.70038,137.715042,128.205872,128.659805,163.15152,0.7451623984072197,1
04/26/2019 18:00:00,244.395432,100.0,236.956818,7.111663,500.367432,137.910294,44.999695,-0.593567,137.584747,129.420853,129.86145,164.333206,2.666770143825673,1
04/26/2019 18:10:00,255.906647,100.0,243.811386,7.521438,499.481415,139.343872,56.840511,-0.593567,138.105927,133.452988,133.946991,166.303589,2.7425240199495065,1
04/26/2019 18:20:00,251.214569,100.0,250.006653,0.214309,502.304749,139.865311,56.176754,-0.593567,139.148529,132.051086,132.505035,165.909424,0.46293520064907573,1
04/26/2019 18:30:00,255.969223,100.0,250.815613,0.145493,510.324677,140.386841,58.091732,-0.708008,139.539581,134.521088,134.9617,165.383926,0.38143544670101126,1
04/26/2019 18:40:00,273.61142,100.0,255.268661,0.145493,505.732941,141.038864,61.746212,-0.601197,139.27887,141.730881,142.064667,167.223495,0.38143544670101126,0
04/26/2019 18:50:00,304.766846,100.0,259.187134,0.142364,498.284332,142.473755,61.532593,-0.601197,141.625977,152.331909,152.745819,170.774094,0.37731154236254155,0
04/26/2019 19:00:00,334.107941,100.0,264.329102,0.145493,500.965027,145.867737,60.571285,-0.494386,145.019104,163.159943,163.587189,174.855362,0.38143544670101126,0
04/26/2019 19:10:00,366.70224,100.0,269.615143,0.142364,504.39325,149.395859,62.692257,-0.494386,147.631516,174.602127,174.989304,179.469238,0.37731154236254155,0
04/26/2019 19:20:00,361.25946,100.0,271.379181,0.142364,498.290466,151.619156,59.953308,-0.494386,149.984421,172.639465,173.093399,179.865005,0.37731154236254155,1
04/26/2019 19:30:00,361.25946,100.0,271.514893,0.145493,499.973846,152.796799,60.227966,-0.601197,151.161484,172.425842,172.853088,179.996948,0.38143544670101126,0
04/26/2019 19:40:00,358.756989,100.0,271.379181,0.139236,499.796417,153.320328,59.594723,-0.601197,151.553925,171.371078,171.784973,180.128876,0.37314340406873064,1
04/26/2019 19:50:00,358.506744,100.0,271.107727,0.142364,499.857483,153.582123,59.381104,-0.601197,151.815582,171.491241,171.945175,179.865005,0.37731154236254155,1
04/26/2019 20:00:00,360.884094,100.0,271.379181,0.142364,500.499939,153.582123,59.465027,-0.601197,151.815582,171.424469,171.811676,179.996948,0.37731154236254155,1
04/26/2019 20:10:00,401.298523,100.0,276.813202,0.142364,497.531525,155.022339,63.256836,-0.601197,152.208115,191.398239,191.785416,183.164948,0.37731154236254155,0
04/26/2019 20:20:00,403.363007,100.0,278.03717,0.142364,500.151001,156.332169,62.966915,-0.601197,154.171417,191.745361,192.105865,183.693237,0.37731154236254155,0
04/26/2019 20:30:00,414.874268,100.0,278.853394,0.139236,505.32373,157.249359,64.118958,-0.601197,154.957047,190.343475,190.690613,184.48584,0.37314340406873064,0
04/26/2019 20:40:00,448.84491,100.0,282.937866,0.139236,496.778656,158.691147,64.485168,-0.601197,156.52887,220.450958,220.811462,186.46817,0.37314340406873064,0
04/26/2019 20:50:00,448.219299,100.0,284.164246,0.139236,499.569641,161.314178,65.21759,-0.601197,158.625793,216.685852,217.019653,188.054886,0.37314340406873064,0
04/26/2019 21:00:00,469.990509,100.0,284.300568,0.145493,506.951874,161.839035,66.011047,-0.601197,159.281342,209.596252,209.75647,188.451691,0.38143544670101126,0
04/26/2019 21:10:00,482.878082,100.0,288.938202,0.142364,491.832733,163.282806,66.964722,-0.601197,160.46167,236.392578,236.806473,190.304031,0.37731154236254155,0
04/26/2019 21:20:00,500.520325,100.0,290.030426,0.139236,503.346588,166.303589,67.941284,-0.601197,163.348633,236.339172,236.59285,193.216965,0.37314340406873064,0
04/26/2019 21:30:00,493.075562,100.0,289.757355,0.142364,498.578156,167.092072,66.720573,-0.570678,164.005096,235.11084,235.417938,193.084503,0.37731154236254155,0
04/26/2019 21:40:00,490.385437,100.0,289.347748,0.145493,501.075867,167.092072,66.468811,-0.570678,164.136414,235.311111,235.658249,192.687149,0.38143544670101126,0
04/26/2019 21:50:00,541.93573,100.0,293.582855,0.142364,502.067291,168.406616,71.794128,-0.570678,164.990082,258.275604,258.542633,195.071991,0.37731154236254155,0
04/26/2019 22:00:00,584.039246,100.0,297.550049,0.145493,510.092072,171.432022,75.250237,-0.570678,167.355148,252.107239,252.214035,198.121811,0.38143544670101126,1
04/26/2019 22:10:00,624.703918,100.0,302.482025,0.14862,497.880432,174.987091,78.759766,-0.570678,171.169037,273.496216,273.683167,199.846863,0.38551264570698585,1
04/26/2019 22:20:00,648.039246,100.0,305.088226,0.145493,497.415161,178.414078,77.745056,-0.570678,174.19696,284.617981,284.738129,203.698334,0.38143544670101126,1
04/26/2019 22:30:00,660.739136,100.0,306.048981,0.145493,498.755615,179.733078,78.218071,-0.540163,174.987305,284.043884,283.990479,204.628677,0.38143544670101126,1
04/26/2019 22:40:00,697.399902,100.0,308.246124,0.142364,516.198914,181.052612,84.725945,-0.540163,175.777832,288.40979,288.343048,205.958206,0.37731154236254155,1
04/26/2019 22:50:00,699.401794,100.0,309.207855,0.14862,502.476837,182.372665,80.476379,-0.540163,177.623138,288.63678,288.610046,206.889191,0.38551264570698585,1
04/26/2019 23:00:00,702.842712,100.0,310.032471,0.151749,501.253174,183.164948,81.018059,-0.540163,178.150543,287.929138,287.942474,207.288269,0.3895497400846264,1
04/26/2019 23:10:00,694.647217,100.0,309.345276,0.145493,497.360077,183.164948,80.377197,-0.540163,178.28241,286.887726,286.927795,207.022202,0.38143544670101126,1
04/26/2019 23:20:00,694.021545,100.0,309.070465,0.145493,499.74118,182.900833,80.957024,-0.540163,178.018677,287.074646,287.034607,206.75618,0.38143544670101126,1
04/26/2019 23:30:00,694.021545,100.0,309.207855,0.14862,501.197662,182.768784,81.765747,-0.570678,177.754974,287.355042,287.408417,206.623169,0.38551264570698585,1
04/26/2019 23:40:00,692.645203,100.0,308.933044,0.145493,499.802155,182.768784,80.819702,-0.570678,177.754974,287.061279,287.06131,206.490158,0.38143544670101126,1
04/26/2019 23:50:00,692.645203,100.0,308.933044,0.145493,501.020508,182.636734,81.620789,-0.570678,177.623138,287.234863,287.168121,206.490158,0.38143544670101126,1
04/27/2019 00:00:00,692.645203,100.0,309.070465,0.145493,501.081329,182.636734,81.414795,-0.570678,177.623138,286.901093,286.820953,206.623169,0.38143544670101126,1
04/27/2019 00:10:00,693.333374,100.0,309.070465,0.145493,500.787964,182.636734,80.773926,-0.570678,177.623138,287.301636,287.274902,206.490158,0.38143544670101126,1
