TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o
12/18/2019 11:30:00,145.924362,100.0,201.57283,6.248321,310.254608,150.049622,0.215148,-0.70038,145.214783,122.825241,123.212425,159.215591,2.499664177444642,1
12/18/2019 11:40:00,145.924362,100.0,201.440033,6.076279,544.87915,145.606537,37.110897,35.264587,141.299713,122.932053,123.345947,157.904648,2.4650109533225204,1
12/18/2019 11:50:00,145.924362,100.0,228.107925,6.223297,528.046875,142.995682,62.898254,-0.799561,141.951904,123.18573,123.55957,159.215591,2.494653683379719,0
12/18/2019 12:00:00,227.94191,100.0,237.493896,6.65184,510.419434,144.300858,59.12933,-0.799561,142.734711,125.789261,126.256546,161.839035,2.579116127668547,1
12/18/2019 12:10:00,279.679871,100.0,248.119858,7.899932,491.507385,144.953629,63.493347,-0.799561,143.648224,143.172821,143.66684,166.6978,2.81068176782787,0
12/18/2019 12:20:00,317.77951,100.0,259.051941,9.341966,493.022003,148.611511,58.305355,-0.69275,146.651443,156.751251,157.151779,174.591904,3.0564629884884913,1
12/18/2019 12:30:00,327.288818,100.0,261.621735,9.401397,507.686707,149.788101,60.716248,-0.69275,147.435333,179.662323,180.062851,174.328461,3.0661697604666314,0
12/18/2019 12:40:00,357.130402,100.0,270.700592,10.446167,487.875336,152.535065,57.946777,-0.69275,150.180389,171.237549,171.598053,179.733078,3.2320530626832227,1
12/18/2019 12:50:00,361.88504,100.0,270.836304,10.640105,498.90094,153.451218,59.640499,-0.69275,150.834305,173.560715,173.974609,179.733078,3.261917380927972,1
12/18/2019 13:00:00,392.477386,100.0,272.329437,11.243819,515.634583,154.236694,65.248108,-0.69275,151.095901,196.431732,196.83226,181.052612,3.353180430576321,0
12/18/2019 13:10:00,462.483215,100.0,284.436859,13.527298,492.809692,159.477844,64.881897,-0.69275,155.284271,211.79924,212.106308,189.642365,3.677947525454924,0
12/18/2019 13:20:00,458.54184,100.0,284.573151,13.530426,497.708923,161.970261,64.363098,-0.585938,158.166809,210.277176,210.63765,189.774689,3.6783727380459963,0
12/18/2019 13:30:00,462.483215,100.0,285.254791,13.683701,499.476654,163.282806,64.103699,-0.585938,159.34671,210.91803,211.225113,190.304031,3.6991486858465152,0
12/18/2019 13:40:00,461.106873,100.0,285.391144,13.705597,499.249084,163.676666,63.973995,-0.585938,159.871277,210.837936,211.118301,190.436386,3.7021071027186667,0
12/18/2019 13:50:00,461.795044,100.0,285.527496,13.77754,498.822632,164.070572,63.844296,-0.585938,160.002411,210.851288,211.145004,190.701096,3.7118108788029596,0
12/18/2019 14:00:00,462.483215,100.0,285.391144,13.783798,497.94516,164.070572,63.813778,-0.585938,160.133575,211.185059,211.465454,190.436386,3.712653767859319,0
12/18/2019 14:10:00,461.106873,100.0,285.254791,13.702468,499.776825,164.070572,64.118958,-0.585938,160.264725,210.971436,211.251831,190.171692,3.7016844814219376,0
12/18/2019 14:20:00,460.418671,100.0,285.391144,13.664933,498.387146,164.201889,63.729855,-0.601197,160.264725,211.024857,211.305222,190.171692,3.69661101551137,0
12/18/2019 14:30:00,460.418671,100.0,285.391144,13.671187,498.227386,164.201889,63.661194,-0.601197,160.264725,210.664368,210.931381,190.171692,3.697456828686442,0
12/18/2019 14:40:00,461.106873,100.0,285.391144,13.689956,501.573181,164.201889,64.462273,-0.601197,160.264725,210.984802,211.278534,190.171692,3.6999940540492764,0
12/18/2019 14:50:00,461.106873,100.0,285.391144,13.674316,503.180084,164.201889,64.874268,-0.601197,160.395889,211.225128,211.518845,190.171692,3.697879933150886,0
12/18/2019 15:00:00,460.293579,100.0,285.391144,13.655546,499.524475,164.333206,63.935852,-0.601197,160.395889,211.158356,211.465454,190.171692,3.6953411209251033,0
12/18/2019 15:10:00,460.543793,100.0,285.391144,13.689956,498.847076,164.333206,63.78326,-0.601197,160.395889,211.078247,211.331924,190.304031,3.6999940540492764,0
12/18/2019 15:20:00,461.106873,100.0,285.254791,13.689956,499.529602,164.333206,64.202881,-0.616456,160.395889,210.811218,211.118301,190.171692,3.6999940540492764,0
12/18/2019 15:30:00,459.793091,100.0,285.254791,13.671187,499.021149,164.333206,63.996883,-0.616456,160.527069,210.944748,211.198425,190.171692,3.697456828686442,0
12/18/2019 15:40:00,460.418671,100.0,285.254791,13.668059,501.969116,164.333206,64.866638,-0.616456,160.527069,210.544205,210.824585,190.171692,3.6970338110436587,0
12/18/2019 15:50:00,459.730499,100.0,285.254791,13.677443,498.479034,164.333206,63.722229,-0.616456,160.395889,210.864639,211.118301,190.171692,3.6983027188157545,0
