TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_RNNTransformer
07/14/2020 09:40:00,-5.344612328379654,0.0,-14.648027558483818,-4.853416783570313,-14.010087271226139,-7.053505633120449,-12.249877244133758,-0.3814192154664556,-6.603616445372494,-5.445021452337299,-5.451999997139184,-6.637644468838687,-5.529570817678512,1,
07/14/2020 09:50:00,-5.391447267794662,0.0,-11.4858160264793,-4.982212308955185,12.53786735144094,-6.706240162326669,-5.814670082586317,26.647004682984075,-6.263764112612761,-5.404758649400816,-5.409226126615982,-6.391410781067837,-5.7308263113820885,1,
07/14/2020 10:00:00,-5.3096852477218786,0.0,-11.529720748201482,-4.871642345593216,-0.23600805877874198,-6.193101084642698,-5.188905817354272,-0.40325327393188204,-5.869938067096864,-5.406179403593072,-5.413028206515697,-6.182961528988659,-5.557743575815532,1,
07/14/2020 10:10:00,-5.11123372088633,0.0,-9.41627366512342,-4.70274941844069,1.4658170161592592,-5.845143955479645,-4.659884096533047,-0.40325327393188204,-5.619149140223739,-5.293917045493523,-5.298014746705246,-5.803735133768669,-5.300340108190876,1,
07/14/2020 10:20:00,-4.453168278281153,0.0,-6.712287692694291,-4.27140412532838,1.7349333850404907,-5.596430507193001,-3.932479029767451,-0.40325327393188204,-5.511628190671673,-4.61844435973671,-4.618389627475009,-5.082387469607476,-4.676628566130655,1,
07/14/2020 10:30:00,-3.956245661885977,0.0,-4.763816850304672,-3.6954666544274146,-1.233044093593622,-5.131782512924348,-4.264342891852484,-0.40325327393188204,-4.848026365363742,-4.162287502137566,-4.164038854688281,-4.074500184903668,-3.90629308869977,1,
07/14/2020 10:40:00,-3.801453851863212,0.0,-4.077024720475711,-3.5241432638994126,1.0520617411960556,-4.58351949019147,-4.217807924349786,-0.40325327393188204,-4.25537056434856,-3.801815171857983,-3.8018894894697057,-3.7507694220999923,-3.6887058726254565,1,
07/14/2020 10:50:00,-3.4648800656998864,0.0,-3.4188133272146217,-3.1742070349124254,-0.7124583308397383,-4.067848703494934,-4.023099113920396,-0.40325327393188204,-3.805884174874083,-3.635551843567613,-3.635547684040608,-3.2552312037091116,-3.258508130659372,1,
07/14/2020 11:00:00,-3.46567349069525,0.0,-3.254062697210342,-3.13411002158386,-0.487528791357444,-3.7181721055140096,-4.234952225552176,-0.2940887048179781,-3.427982560000812,-3.6497623301687403,-3.650755540887142,-3.159877644452183,-3.210353374985793,1,
07/14/2020 11:10:00,-3.4648800656998864,0.0,-3.2091159740642485,-3.1195291835264496,-0.23567238262368465,-3.5182275754294574,-4.307203484349331,-0.2940887048179781,-3.2479191233699716,-3.643130772120084,-3.6450524032394025,-3.121731218811621,-3.1928977451742515,1,
07/14/2020 11:20:00,-3.456941628539134,0.0,-3.1941337697899144,-3.1195291835264496,-0.12140398823093056,-3.4182223318309126,-4.332919775643787,-0.2940887048179781,-3.1578642778882084,-3.6350787082255582,-3.635547684040608,-3.121731218811621,-3.1928977451742515,1,1.0
07/14/2020 11:30:00,-3.448209753694512,0.0,-3.1491804272594424,-3.121959646901925,-0.3251912894800087,-3.3848801201327463,-4.4149665856316265,-0.2940887048179781,-3.139850004910952,-3.6412360311124528,-3.6412502877433552,-3.102654753286128,-3.195805367648642,1,1.0
07/14/2020 11:40:00,-3.445034924435987,0.0,-3.1192091786802445,-3.1170994970291503,0.23339216778369296,-3.3682099055959944,-4.385577042895229,-0.2940887048179781,-3.121835594271988,-3.6459728836315324,-3.6479039542651055,-3.121731218811621,-3.1899918649156547,1,1.0
07/14/2020 11:50:00,-3.4648800656998864,0.0,-3.074245686427069,-3.1377551339884415,0.11259868026594455,-3.3682099055959944,-4.410068167999763,-0.2940887048179781,-3.319953363436072,-3.646447083315238,-3.6450524032394025,-3.121731218811621,-3.2147217564363224,1,1.0
07/14/2020 12:00:00,-3.46567349069525,0.0,-3.0442677081404197,-3.1377551339884415,-0.2168370011938595,-3.4182223318309126,-4.4382343101466715,-0.3814192154664556,-3.1758764859399,-3.6478676246391637,-3.6488544831391185,-3.14080334739683,-3.2147217564363224,1,1.0
07/14/2020 12:10:00,-3.4736119405445085,0.0,-3.0292753541433695,-3.135325059052054,-0.3743368173072786,-3.3848801201327463,-4.454153284650011,-0.3814192154664556,-3.1578642778882084,-3.653551812184003,-3.653607661454169,-3.14080334739683,-3.211809297756967,1,1.0
07/14/2020 12:20:00,-3.1981612275395115,0.0,-2.969306048478242,-2.9567118321539794,1.9932635481931784,-3.3515379084345804,-3.9741150981108966,-0.3814192154664556,-3.139850004910952,-3.074237853430456,-3.069984997398152,-2.9881916231928827,-2.9999339326744097,1,1.0
07/14/2020 12:30:00,-2.2757581480210183,0.0,-1.9632746902393536,-2.226461883718812,1.6496327145057699,-3.101380788831512,-3.186705298155193,-0.3814192154664556,-2.941654594545582,-2.4172388038029133,-2.414123527174207,-2.1670697565450725,-2.1745395494919806,1,1.0
07/14/2020 12:40:00,-2.2408306867080494,0.0,-1.466672698126762,-2.0514941576644063,-0.23538832725549505,-2.634030208243305,-3.541836242718751,-0.3814192154664556,-2.3826496465263607,-2.3509231878383026,-2.351388372315091,-1.8420528018183557,-1.9854931715352944,1,0.0
07/14/2020 12:50:00,-2.215428893201752,0.0,-1.4064273641331413,-1.995600880371148,-0.22721024062747724,-2.3667425749494084,-3.6251082188965125,-0.3814192154664556,-2.111920146446183,-2.3234495496618095,-2.3209715907320394,-1.7464167631843752,-1.9257483946907747,1,1.0
07/14/2020 13:00:00,-1.7566089607217694,0.0,-1.1804178620641506,-1.649309375349653,1.396699885429422,-2.1494497963044705,-3.153642022449463,-0.40325327393188204,-1.9674695174225414,-1.6806615188062197,-1.6784169196066048,-1.4593963205291316,-1.5622099126956615,1,1.0
